"King's Speech announcement","Introduced title","Originating house","Introduction date","Royal Assent date","Act title","Progress summary","Library briefing"
"Civil Aviation Bill","=HYPERLINK(""https://bills.parliament.uk/bills/4125/stages"",""Civil Aviation (Consumer Protection and Regulatory Reform) Bill"")","Lords","14 May 2026",,,"Committee stage, line by line examination of the bill, began on 16 June. Committee stage continues on 18 June.",
"Clean Water Bill",,,,,,"Bill not yet introduced.",
"Commonhold and Leasehold Reform Bill",,,,,,"Bill not yet introduced.",
"Competition Reform Bill",,,,,,"Bill not yet introduced.",
"Digital Access to Services Bill",,,,,,"Bill not yet introduced.",
"Education for All Bill",,,,,,"Bill not yet introduced.",
"Electricity Generator Levy Bill",,,,,,"Bill not yet introduced.",
"Energy Independence Bill",,,,,,"Bill not yet introduced.",
"Enhancing Financial Services Bill","=HYPERLINK(""https://bills.parliament.uk/bills/4129/stages"",""Financial Services and Markets Bill"")","Lords","19 May 2026",,,"Second reading - the general debate on all aspects of the bill - took place on 08 June. Committee stage - line by line examination of the bill - begins on 22 June. ",
"European Partnership Bill",,,,,,"Bill not yet introduced.",
"Highways (Financing) Bill",,,,,,"Bill not yet introduced.",
"Immigration and Asylum Bill",,,,,,"Bill not yet introduced.",
"National Security Bill",,,,,,"Bill not yet introduced.",
"Health Bill","=HYPERLINK(""https://bills.parliament.uk/bills/4124/stages"",""Health Bill"")","Commons","14 May 2026",,,"This Bill was debated at second reading on Monday 1 June 2026 and has now been sent to a Public Bill Committee which will scrutinise the Bill line by line and is expected to report to the House by Thursday 16 July 2026.","=HYPERLINK(""https://commonslibrary.parliament.uk/research-briefings/cbp-10845/"",""Health Bill 2026-27"")"
"Nuclear Regulation Bill",,,,,,"Bill not yet introduced.",
"Overnight Visitor Levy Bill",,,,,,"Bill not yet introduced.",
"Police Reform Bill",,,,,,"Bill not yet introduced.",
"Regulating for Growth Bill",,,,,,"Bill not yet introduced.",
"Remediation Bill",,,,,,"Bill not yet introduced.",
"Removal of Peerages Bill",,,,,,"Bill not yet introduced.",
"Small Business Protections (Late Payments) Bill","=HYPERLINK(""https://bills.parliament.uk/bills/4128/stages"",""Commercial Payments Bill"")","Lords","19 May 2026",,,"Second reading - the general debate on all aspects of the bill - took place on 9 June. Committee stage - line by line examination of the bill - is yet to be scheduled. ",
"Social Housing Bill","=HYPERLINK(""https://bills.parliament.uk/bills/4126/stages"",""Social Housing Bill"")","Lords","14 May 2026",,,"Line by line examination of the bill took place during the final day of committee stage on 17 June. Report stage – a further chance to closely scrutinise elements of the bill and make changes - is yet to be scheduled.",
"Sovereign Grant Bill",,,,,,"Bill not yet introduced.",
"Sporting Events Bill","=HYPERLINK(""https://bills.parliament.uk/bills/4127/stages"",""Sporting Events Bill"")","Lords","14 May 2026",,,"Second reading - the general debate on all aspects of the bill - took place on 3 June. Committee stage - line by line examination of the bill – is scheduled to begin on 22 June.",
"Steel Industry (Nationalisation) Bill","=HYPERLINK(""https://bills.parliament.uk/bills/4123/stages"",""Steel Industry (Nationalisation) Bill"")","Commons","14 May 2026",,,"Second reading - the general debate on all aspects of the bill – took place on 16 June. Committee stage - line by line examination of the bill - is scheduled to begin on 29 June.","=HYPERLINK(""https://commonslibrary.parliament.uk/research-briefings/cbp-10846/"",""Steel Industry (Nationalisation) Bill 2026-27"")"
"Tackling State Threats Bill","=HYPERLINK(""https://bills.parliament.uk/bills/4140/stages"",""National Security (State Threats) Bill"")","Commons","09 June 2026",,,"First reading took place on 18 June. This stage is a formality that signals the start of the bill's journey through the Lords the bill's journey through the Lords. Second reading - the general debate on all aspects of the bill – and all remaining stages are scheduled for Tuesday 30 June. ","=HYPERLINK(""https://commonslibrary.parliament.uk/research-briefings/cbp-10896/"",""The National Security (State Threats) Bill"")"
"Armed Forces Bill*","=HYPERLINK(""https://bills.parliament.uk/bills/4065/stages"",""Armed Forces Bill"")","Commons","15 January 2026",,,"The Committee of the whole House has now completed its work and has reported the Bill with amendments to the House, and is no longer able to receive written evidence. The Bill is now due to have its report stage and third reading on Monday 22 June. Amendments can be made to the Bill at Report Stage. Amendments to be considered are selected by the Speaker.","=HYPERLINK(""https://commonslibrary.parliament.uk/research-briefings/cbp-10471/"",""Armed Forces Bill 2024-26"")"
"Courts and Tribunals Bill*","=HYPERLINK(""https://bills.parliament.uk/bills/4083/stages"",""Courts and Tribunals Bill"")","Commons","25 February 2026",,,"This Bill has been reintroduced in the new session of Parliament for 2026-27 and will resume at the stage it was in the previous session.","=HYPERLINK(""https://commonslibrary.parliament.uk/research-briefings/cbp-10515/"",""Courts and Tribunals Bill 2024-26"")"
"Cyber Security and Resilience (Network and Information Systems) Bill*","=HYPERLINK(""https://bills.parliament.uk/bills/4035/stages"",""Cyber Security and Resilience (Network and Information Systems) Bill"")","Commons","12 November 2025",,,"First reading took place on 17 June. This stage is a formality that signals the start of the bill's journey through the Lords. Second reading - the general debate on all aspects of the bill - is yet to be scheduled.","=HYPERLINK(""https://commonslibrary.parliament.uk/research-briefings/cbp-10442/"",""Cyber Security and Resilience (Network and Information Systems) Bill 2024-26"")"
"Northern Ireland Troubles Bill*","=HYPERLINK(""https://bills.parliament.uk/bills/4022/stages"",""Northern Ireland Troubles Bill"")","Commons","14 October 2025",,,"This Bill has been reintroduced in the new session of Parliament for 2026-27 and will resume at the stage it had reached in the previous session.","=HYPERLINK(""https://commonslibrary.parliament.uk/research-briefings/cbp-10364/"",""Northern Ireland Troubles Bill 2024-26"")"
"High Speed Rail (Crewe - Manchester) Bill / Northern Powerhouse Rail*","=HYPERLINK(""https://bills.parliament.uk/bills/3094/stages"",""High Speed Rail (Crewe - Manchester) Bill"")","Commons","24 January 2022",,,"In accordance with the carry-over motion agreed by the House on 20 June 2022, the Bill was reintroduced to the House of Commons in the new Parliament on 25 July 2024. It was deemed to have received its Second Reading and was committed again to a Select Committee. The Bill is in the same form as it was at the end of the previous Parliament, and instructions to the Committee agreed by the House continue to apply. Membership of the Committee and details of the Committee’s future programme will be announced in due course.","=HYPERLINK(""https://commonslibrary.parliament.uk/research-briefings/cbp-10066/"",""High Speed Rail (Crewe / Manchester) Bill 2024-25"")"
"Public Office (Accountability) Bill*","=HYPERLINK(""https://bills.parliament.uk/bills/4019/stages"",""Public Office (Accountability) Bill"")","Commons","16 September 2025",,,"This Bill has been reintroduced in the new session of Parliament for 2026-27 and will resume at the stage it reached in the previous session.","=HYPERLINK(""https://commonslibrary.parliament.uk/research-briefings/cbp-10424/"",""Public Office (Accountability) Bill 2024-26: Progress of the bill"")"
"Railways Bill*","=HYPERLINK(""https://bills.parliament.uk/bills/4030/stages"",""Railways Bill"")","Commons","05 November 2025",,,"First reading took place on 11 June. This stage is a formality that signals the start of the bill's journey through the Lords. Second reading - the general debate on all aspects of the bill - is scheduled for 7 July.","=HYPERLINK(""https://commonslibrary.parliament.uk/research-briefings/cbp-10538/"",""Railways Bill 2024-26: Progress of the bill"")"
"Representation of the People Bill*","=HYPERLINK(""https://bills.parliament.uk/bills/4080/stages"",""Representation of the People Bill"")","Commons","12 February 2026",,,"This Bill has been reintroduced in the new session of Parliament for 2026-27 and will resume at the stage it was in the previous session.","=HYPERLINK(""https://commonslibrary.parliament.uk/research-briefings/cbp-10506/"",""Representation of the People Bill 2024-26"")"
