"","King's Speech announcement","bill_id","Introduced title","Progress summary","Title**","Library briefing"
"1","Armed Forces Bill*",4065,"Armed Forces Bill","Line by line examination of the bill took place during the final day of committee stage on 8 September. Report stage – a further chance to closely scrutinise elements of the bill and make changes - is yet to be scheduled. ","Armed Forces Bill","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10471/"" target=""_blank"">Armed Forces Bill 2024-26</a>"
"2","Civil Aviation Bill",4125,"Civil Aviation (Consumer Protection and Regulatory Reform) Bill","This Bill is expected to have its second reading debate on Wednesday 9 September.The Bill completed its House of Lords stages on 20 July and was presented to the House of Commons on 1 September 2026. This is known as the first reading and there was no debate on the Bill at this stage.","Civil Aviation (Consumer Protection and Regulatory Reform) Bill","NA"
"3","Clean Water Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"4","Commonhold and Leasehold Reform Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"5","Competition Reform Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"6","Courts and Tribunals Bill*",4083,"Courts and Tribunals Bill","This Bill has been reintroduced in the new session of Parliament for 2026-27 and will resume at the stage it was in the previous session.","Courts and Tribunals Bill","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10515/"" target=""_blank"">Courts and Tribunals Bill 2024-26</a>"
"7","Cyber Security and Resilience (Network and Information Systems) Bill*",4035,"Cyber Security and Resilience (Network and Information Systems) Bill","Line by line scrutiny of the bill took place during the final day of committee stage on 7 September. Report stage – a further chance to closely scrutinise elements of the bill and make changes - is yet to be scheduled. ","Cyber Security and Resilience (Network and Information Systems) Bill","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10442/"" target=""_blank"">Cyber Security and Resilience (Network and Information Systems) Bill 2024-26</a>"
"8","Digital Access to Services Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"9","Education for All Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"10","Electricity Generator Levy Bill",4207,"Taxation (Energy and Vehicles) Bill","Following agreement by both Houses on the text of the bill it received Royal Assent on 15 July. The bill is now an Act of Parliament (law). ","Taxation (Energy and Vehicles) Act 2026","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10913/"" target=""_blank"">Taxation (Energy and Vehicles) Bill 2026-27</a>"
"11","Energy Independence Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"12","Enhancing Financial Services Bill",4129,"Financial Services and Markets Bill ","Report stage – a chance to closely scrutinise elements of the bill and make changes - began on 7 September. A second day of report stage is scheduled for 9 September. ","Financial Services and Markets Bill","NA"
"13","European Partnership Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"14","Health Bill",4124,"Health Bill","This Bill has now completed all its stages in the House of Commons.This Bill will now go to the House of Lords for consideration.","Health Bill","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-11078/"" target=""_blank"">Health bill 2026-27: Progress of the bill</a><br><br><a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10845/"" target=""_blank"">Health Bill 2026-27</a>"
"15","High Speed Rail (Crewe - Manchester) Bill / Northern Powerhouse Rail*",3094,"High Speed Rail (Crewe - Manchester) Bill / Northern Powerhouse Rail","In accordance with the carry-over motion agreed by the House on 20 June 2022, the Bill was reintroduced to the House of Commons in the new Parliament on 25 July 2024. It was deemed to have received its Second Reading and was committed again to a Select Committee. The Bill is in the same form as it was at the end of the previous Parliament, and instructions to the Committee agreed by the House continue to apply. Membership of the Committee and details of the Committee’s future programme will be announced in due course.","High Speed Rail (Crewe - Manchester) Bill","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10066/"" target=""_blank"">High Speed Rail (Crewe / Manchester) Bill 2024-25</a>"
"16","Highways (Financing) Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"17","Immigration and Asylum Bill",4254,"Immigration and Asylum Bill","This Bill was debated at second reading on Monday 13 July 2026 and has now been sent to a Public Bill Committee which will scrutinise the Bill line by line and is expected to report to the House by Tuesday 3 November 2026.","Immigration and Asylum Bill","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10940/"" target=""_blank"">Immigration and Asylum Bill 2026</a>"
"18","National Security Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"19","Northern Ireland Troubles Bill*",4022,"Northern Ireland Troubles Bill","This Bill has been reintroduced in the new session of Parliament for 2026-27 and will resume at the stage it had reached in the previous session.","Northern Ireland Troubles Bill","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10364/"" target=""_blank"">Northern Ireland Troubles Bill 2024-26</a>"
"20","Nuclear Regulation Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"21","Overnight Visitor Levy Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"22","Police Reform Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"23","Public Office (Accountability) Bill*",4019,"Public Office (Accountability) Bill","Second reading - the general debate on all aspects of the bill - took place on 1 September. Committee stage - line by line examination of the bill - is scheduled to begin on 12 October.","Public Office (Accountability) Bill","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10424/"" target=""_blank"">Public Office (Accountability) Bill 2024-26: Progress of the bill</a><br><br><a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10359/"" target=""_blank"">Public Office (Accountability) Bill 2024-26</a>"
"24","Railways Bill*",4030,"Railways Bill","Line by line examination of the bill took place during the first day of committee stage on 8 September. Committee stage continues on 10 September when further amendments will be discussed.","Railways Bill","<a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10538/"" target=""_blank"">Railways Bill 2024-26: Progress of the bill</a><br><br><a href=""https://commonslibrary.parliament.uk/research-briefings/cbp-10386/"" target=""_blank"">Railways Bill 2024-26</a>"
"25","Regulating for Growth Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"26","Remediation Bill",0,NA,"Bill not yet introduced.",NA,"NA"
"27","Removal of Peerages Bill",0,NA,"Bill not yet introduced.",NA,"NA"
