King's Speech announcement,bill_id,Introduced title,House introduced to,Introduction date,Royal Assent date,Act title
Civil Aviation Bill,4125,"<a href=""https://bills.parliament.uk/bills/4125/stages"" target=""_blank"">Civil Aviation (Consumer Protection and Regulatory Reform) Bill</a>",Lords,14 May 2026,NA,NA
Clean Water Bill,0,NA,NA,NA,NA,NA
Commonhold and Leasehold Reform Bill,0,NA,NA,NA,NA,NA
Competition Reform Bill,0,NA,NA,NA,NA,NA
Digital Access to Services Bill,0,NA,NA,NA,NA,NA
Education for All Bill,0,NA,NA,NA,NA,NA
Electricity Generator Levy Bill,0,NA,NA,NA,NA,NA
Energy Independence Bill,0,NA,NA,NA,NA,NA
Enhancing Financial Services Bill,4129,"<a href=""https://bills.parliament.uk/bills/4129/stages"" target=""_blank"">Financial Services and Markets Bill</a>",Lords,19 May 2026,NA,NA
European Partnership Bill,0,NA,NA,NA,NA,NA
Highways (Financing) Bill,0,NA,NA,NA,NA,NA
Immigration and Asylum Bill,0,NA,NA,NA,NA,NA
National Security Bill,0,NA,NA,NA,NA,NA
Health Bill,0,NA,NA,NA,NA,NA
Nuclear Regulation Bill,0,NA,NA,NA,NA,NA
Overnight Visitor Levy Bill,0,NA,NA,NA,NA,NA
Police Reform Bill,0,NA,NA,NA,NA,NA
Regulating for Growth Bill,0,NA,NA,NA,NA,NA
Remediation Bill,0,NA,NA,NA,NA,NA
Removal of Peerages Bill,0,NA,NA,NA,NA,NA
Small Business Protections (Late Payments) Bill,4128,"<a href=""https://bills.parliament.uk/bills/4128/stages"" target=""_blank"">Commercial Payments Bill</a>",Lords,19 May 2026,NA,NA
Social Housing Bill,4126,"<a href=""https://bills.parliament.uk/bills/4126/stages"" target=""_blank"">Social Housing Bill</a>",Lords,14 May 2026,NA,NA
Sovereign Grant Bill,0,NA,NA,NA,NA,NA
Sporting Events Bill,4127,"<a href=""https://bills.parliament.uk/bills/4127/stages"" target=""_blank"">Sporting Events Bill</a>",Lords,14 May 2026,NA,NA
Steel Industry (Nationalisation) Bill,4123,"<a href=""https://bills.parliament.uk/bills/4123/stages"" target=""_blank"">Steel Industry (Nationalisation) Bill</a>",Commons,14 May 2026,NA,NA
Tackling State Threats Bill,0,NA,NA,NA,NA,NA
Armed Forces Bill*,4065,"<a href=""https://bills.parliament.uk/bills/4065/stages"" target=""_blank"">Armed Forces Bill</a>",Commons,15 January 2026,NA,NA
Courts and Tribunals Bill*,4083,"<a href=""https://bills.parliament.uk/bills/4083/stages"" target=""_blank"">Courts and Tribunals Bill</a>",Commons,25 February 2026,NA,NA
Cyber Security and Resilience (Network and Information Systems) Bill*,4035,"<a href=""https://bills.parliament.uk/bills/4035/stages"" target=""_blank"">Cyber Security and Resilience (Network and Information Systems) Bill</a>",Commons,12 November 2025,NA,NA
Northern Ireland Troubles Bill*,4022,"<a href=""https://bills.parliament.uk/bills/4022/stages"" target=""_blank"">Northern Ireland Troubles Bill</a>",Commons,14 October 2025,NA,NA
High Speed Rail (Crewe - Manchester) Bill / Northern Powerhouse Rail*,3094,"<a href=""https://bills.parliament.uk/bills/3094/stages"" target=""_blank"">High Speed Rail (Crewe - Manchester) Bill</a>",Commons,24 January 2022,NA,NA
Public Office (Accountability) Bill*,4019,"<a href=""https://bills.parliament.uk/bills/4019/stages"" target=""_blank"">Public Office (Accountability) Bill</a>",Commons,16 September 2025,NA,NA
Railways Bill*,4030,"<a href=""https://bills.parliament.uk/bills/4030/stages"" target=""_blank"">Railways Bill</a>",Commons,05 November 2025,NA,NA
Representation of the People Bill*,4080,"<a href=""https://bills.parliament.uk/bills/4080/stages"" target=""_blank"">Representation of the People Bill</a>",Commons,12 February 2026,NA,NA
